time[yrs],velocity[mm/yr]
1986,0.0271
1987,-1.18197
1988,-2.00075
1989,-2.63621
1990,-3.16204
1991,-3.61428
1992,-4.01421
1993,-4.37522
1994,-4.70611
1995,-5.01288
1996,-5.27229
1997,-5.54396
1998,-5.80096
1999,-6.0451
2000,-6.27781
2001,-6.50025
2002,8.99886
2003,16.90317
2004,2.26129
2005,44.31566
2006,33.15228
2007,4.18147
2008,8.70877
2009,-5.25546
2010,-17.174
2011,-20.10902
2012,-5.0844
2013,-12.53187
2014,17.2468
2015,19.76197
2016,-11.50484
2017,-22.55274
2018,-7.20205
2019,-6.76711
2020,-6.90397
2021,-3.51175
2022,-6.47361
2023,-5.49859
2024,-0.86808
